앨범ID,앨범명,분류,장르
0,‘The ReVe Festival 2022 - Birthday’,EP(미니),"댄스/팝, 알앤비/소울"
1,MOVE AGAIN,EP(미니),"댄스/팝, 발라드"
2,NewJeans 1st EP 'New Jeans',EP(미니),댄스/팝
3,CHESHIRE,EP(미니),댄스/팝
4,ANTIFRAGILE,EP(미니),"댄스/팝, 발라드, 알앤비/소울"
5,YOUNHA 6th Album Repackage 'END THEORY : Final Edition',정규,"댄스/팝, 발라드, 알앤비/소울"
6,BORN PINK,정규,"댄스/팝, 랩/힙합, 발라드"
7,I love,EP(미니),"댄스/팝, 랩/힙합, 알앤비/소울"
8,Lowlife Princess: Noir,정규,"댄스/팝, 랩/힙합, 발라드, 알앤비/소울"
9,스트릿 맨 파이터(SMF) Original Vol.3 (계급미션),컴필레이션,랩/힙합
10,추운날,EP(미니),"발라드, 알앤비/소울"
11,NOI MAS,EP(미니),알앤비/소울
12,YOUNHA 6th Album 'END THEORY',정규,발라드
13,I NEVER DIE,정규,"댄스/팝, 랩/힙합, 알앤비/소울"
14,여운,EP(미니),"인디, 포크/어쿠스틱"
15,FEARLESS,EP(미니),댄스/팝
16,Takin' It Back,정규,팝
17,FIVE SENSES,EP(미니),"댄스/팝, 랩/힙합, 알앤비/소울"
18,Midnights (3am Edition),정규,팝
19,Everyday Is Christmas (Snowman Deluxe Edition),정규,팝
20,Nine Track Mind (Deluxe Edition),정규,팝
21,IU 5th Album 'LILAC',정규,"댄스/팝, 발라드, 알앤비/소울"
22,조각집,EP(미니),"포크/어쿠스틱, 발라드"
23,Girls - The 2nd Mini Album,EP(미니),댄스/팝
24,KARA 3rd Album STEP,정규,"댄스/팝, 발라드"
25,전설,정규,"인디, 락/메탈"
26,함께 부르는 가곡,컴필레이션,클래식
27,INVU - The 3rd Album,정규,"댄스/팝, 발라드"
28,Forgive Me - The 3rd Mini Album,EP(미니),"댄스/팝, 발라드"
29,CHARLIE,정규,팝
30,First of all,정규,"댄스/팝, 발라드"
31,Merry Christmas (Deluxe Anniversary Edition),정규,"캐롤, 팝"
32,FOREVER 1 - The 7th Album,정규,"댄스/팝, 발라드, 알앤비/소울"
33,Justice,정규,팝
34,Seoul,EP(미니),"인디, 포크/어쿠스틱"
35,R.I.P.D. 2: Rise Of The Damned (Original Motion Picture Soundtrack),OST,OST
36,‘The ReVe Festival 2022 - Feel My Rhythm’,EP(미니),댄스/팝
37,싸다9,정규,"댄스/팝, 랩/힙합, 알앤비/소울"
38,CHECKMATE,EP(미니),댄스/팝
39,탑건 : 매버릭 (Top Gun: Maverick) (영화 OST),OST,OST
40,BETWEEN 1&2,EP(미니),"댄스/팝, 발라드"
41,Revolution,정규,댄스/팝
42,Love poem,EP(미니),"댄스/팝, 발라드"
43,The Book of Us : Gravity,EP(미니),댄스/팝
44,IM HERO,정규,"발라드, 성인가요"
45,루팡 (Lupin),EP(미니),댄스/팝
46,Wrapped In Red (Deluxe Version),정규,"캐롤, 팝"
47,Season Note,EP(미니),발라드
48,PROTOTYPE RESEARCH #0063,EP(미니),랩/힙합
49,Real,EP(미니),댄스/팝
50,잔나비 소곡집 l,EP(미니),"인디, 댄스/팝"
51,Proof,정규,"댄스/팝, 랩/힙합, 알앤비/소울"
52,Every letter I sent you.,정규,"댄스/팝, 알앤비/소울"
53,겨울 스페셜 앨범 '12월의 기적 (Miracles in December)’,EP(미니),"댄스/팝, 발라드"
54,내일은 미스터트롯 예선곡 베스트,컴필레이션,성인가요
55,질주 (2 Baddies) - The 4th Album,정규,"댄스/팝, 랩/힙합, 알앤비/소울"
56,AFTER SUNSET,EP(미니),"댄스/팝, 알앤비/소울"
57,ERROR,정규,댄스/팝
58,6th Mini Album [Day & Night],EP(미니),댄스/팝
59,점핑 (Jumping),EP(미니),댄스/팝
60,MONKEY HOTEL,정규,"인디, 댄스/팝, 락/메탈"
61,SELFISH,EP(미니),댄스/팝
62,Christmas (Deluxe Special Edition),정규,"캐롤, 팝"
63,선물,EP(미니),발라드
64,항해,정규,"포크/어쿠스틱, 발라드, 락/메탈"
65,금수저 OST,OST,"댄스/팝, 발라드, OST"
66,THE ALBUM,정규,"댄스/팝, 랩/힙합"
67,The LIGHTS,정규,"댄스/팝, 포크/어쿠스틱, 재즈, 알앤비/소울"
68,Pretty Girl - 2nd Mini Album,EP(미니),댄스/팝
69,=,정규,팝
70,Palette,정규,"댄스/팝, 발라드, 알앤비/소울"
71,Full Album RED PLANET,정규,"인디, 포크/어쿠스틱, 락/메탈"
72,쇼미더머니 10 Episode 3,컴필레이션,랩/힙합
73,IM NAYEON,EP(미니),댄스/팝
74,Tunnel Of Love,정규,락
75,Voicenotes,정규,"팝, 알앤비/소울"
76,Kara 4th Album - Full Bloom,정규,댄스/팝
77,SEVENTEEN 4th Album 'Face the Sun',정규,"댄스/팝, 랩/힙합, 알앤비/소울"
78,약한영웅 Class 1 (약한영웅 Class 1 OST),OST,"댄스/팝, OST"
79,Speak Your Mind (Deluxe),정규,"알앤비/소울, 일렉트로닉"
80,2020 한국의 젊은 음악가들 3 - 임윤찬(Piano),정규,클래식
81,천원짜리 변호사 OST,OST,"댄스/팝, OST"
82,Buzz Effect,정규,"댄스/팝, 락/메탈"
83,HAPPEN,EP(미니),알앤비/소울
84,1st Mini Album,EP(미니),댄스/팝
85,그리고,정규,발라드
86,내일은 미스터트롯 데스매치 PART2,컴필레이션,성인가요
87,Her Loss,정규,랩/힙합
88,ON and ON,EP(미니),"댄스/팝, 알앤비/소울"
89,log,EP(미니),댄스/팝
90,HARMONY : SET IN,EP(미니),"댄스/팝, 발라드"
91,Christmas Kisses,EP(미니),"캐롤, 팝"
92,I met you when I was 18. (the playlist),정규,팝
93,MAXIDENT,EP(미니),"랩/힙합, 알앤비/소울"
94,SQUARE UP,EP(미니),댄스/팝
95,NEXT EPISODE,EP(미니),"댄스/팝, 알앤비/소울"
96,잔나비 소곡집 ll : 초록을거머쥔우리는,EP(미니),"인디, 락/메탈"
97,MAP OF THE SOUL : 7,정규,"댄스/팝, 랩/힙합, 알앤비/소울"
98,In The Lonely Hour,정규,"팝, 알앤비/소울"
99,TOYSTORY3,정규,랩/힙합
